UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
100654,0.5810487722010592,0.06084259772581661,0.7252601681895545,0.011544828136425342,1
100663,0.5068307098197522,0.11158877415890525,0.9473346984599518,9.576346106682073e-06,1
100706,0.583777883368691,0.05935228134154108,0.8453730144601201,0.0010475359520541524,1
100724,0.19999999999999996,0.5554454421055853,0.6481555735642778,0.03101905661925166,1
100751,0.18786665683944082,0.5801465014949495,0.9621547696090946,2.2118893455408544e-06,1
100812,-0.21199750830781777,0.5314468128469897,0.8273849663616794,0.001672362908583145,3
100858,0.23400090185080924,0.48859878881189905,0.8528964584474727,0.0008465353300016982,1
101116,0.3,0.3700831222820675,0.08700468913873693,0.7992136755178351,1
101189,6.938893903907228e-18,0.9999999999999998,0.7017962440023451,0.016078214994216543,1
101480,-0.8406827196141524,0.0011897922393653184,-0.8312615311410998,0.0015188457163096392,4
101879,0.5988222295738689,0.05158054495183235,0.9195855894577251,6.175146674057414e-05,1
101912,0.37300192329612547,0.25854720086632993,0.8221559067083368,0.0018974780314398802,1
102049,-0.30379248640351286,0.3637636283306834,0.4124451516833044,0.20745510521712618,3
102094,0.03146294872337252,0.9268322019335993,0.7431427716946599,0.008773672397156387,1
102298,-0.09999999999999996,0.7698749998921364,0.1008875829830051,0.7678805757882182,3
102368,-0.016362443871225762,0.961916700190976,0.5551156481602701,0.07628608646182296,3
102377,0.4999999999999999,0.11730680301423828,-0.10139137381090896,0.7667491045645775,2
102553,0.6810448542581287,0.02104537596766711,0.8864203217245059,0.0002780363253675328,1
102614,0.6947583121138983,0.017656448552855426,0.6699016721854196,0.024121342793574852,1
102845,0.7411046619025985,0.009062056963898231,-0.22780663099875645,0.5005036764140568,2
104151,0.49387235262017126,0.12259383763064514,0.8966182639985589,0.00018486471154595293,1
104179,0.7261180804712501,0.011399052350296288,0.941910487227264,1.476845088665823e-05,1
105330,0.7055974503875935,0.015269290980168972,0.9885513103047355,1.0584762492352377e-08,1
106245,-0.29075053167654785,0.3857279150297155,0.6071942616388564,0.04757290048943816,3
106342,0.19999999999999996,0.5554454421055853,0.661053610077038,0.026780824448503326,1
106397,-0.08716865806115487,0.7988419592202559,0.9779769873174443,1.9797416686636586e-07,3
106412,0.19999999999999996,0.5554454421055853,0.7473583143125573,0.008198496388472658,1
106458,0.37692128496839933,0.2531777804080867,0.7630613440610285,0.006295904535169772,1
106467,0.7638777103113422,0.006206820268379333,0.9129054656318839,8.756209753331981e-05,1
106704,0.46566706389666956,0.14888329160235725,0.9741446592033209,4.0526105662262013e-07,1
107044,0.37961369387054744,0.24952652088770133,0.725903832847691,0.011435331468518831,1
107071,0.674707258785224,0.02275821778335945,0.6120450675896544,0.04535171698067172,1
107080,-0.10283196260228182,0.763515926849218,0.5974928585541035,0.05223749569441943,3
107512,-0.19999999999999993,0.5554454421055853,0.7580190763847371,0.006867077468416179,3
